建築代碼,建築物正式名稱,附屬設施或別稱,推估或已知樓層與面積特徵,核心機能與學術用途
S,科學一館,地科院辦公室,推估為中大型量體，具備頂樓觀測或天線配置,標誌性之地球科學核心，象徵該校之歷史強項
無,科學二館,Science Bldg #3,推估為中大型量體，標準研究室配置,基礎科學的空間擴展與進階研究
,C波段氣象雷達 (NCU C-POL)：,,,
無,健雄館 (科四館),Chien-Shiung Bldg,推估為中高樓層，樓地板面積逾萬平方公尺,以傑出科學家命名之紀念性科學大樓，具備學術指標意義
M,鴻經館 (科學五館),Hong-Jing Bldg,推估為中高樓層，著重數學與理論推演空間,高階理學研究空間與進階研究節點
H2,理學院教學館,原普化實驗大樓,考量實驗排氣需求，推估樓層適中且具備大型管道間,理學院基礎教學，集中處理具備化學風險之基礎實驗
無,實驗三館,Experimental Bldg #3,推估為低樓層，高承載與高防震結構,專門實驗室群，高度管制的實驗環境，可能涉及精密儀器
E,工程一館,Engineering Bldg #1,推估為早期建築，腹地廣大，樓層較低,早期工程學科教學與實驗，工學院之初始發展腹地
E1,工程二館,資電學院辦公室,推估具備高密度機房與極高空調負載設計,軟體、弱電與精密電子設備之運算核心，資通訊研究中樞
E2,機械館,Mechanical Eng Bldg,必備高挑高一樓與極高樓板載重係數,機械工程專屬研究空間，需具備重型機具進出動線
E3,環工化工館,Env & Chem Eng Bldg,具備防爆設計與頂樓大型洗滌塔設施,環境與化學工程研究，需配置高等級排氣與廢液處理系統
E4,機電實驗室,Mechatronics Lab,廠房型建築，具備大跨距與天車設備,機電整合跨領域研究，結合機械動力與電子控制之專用場域
E5,大型力學實驗室,大力館,單層或雙層之巨大量體，包含巨型反力牆與強力地基,土木與結構力學測試，進行破壞性結構震動與應力實驗
E6,工程五館大樓,工學院辦公室,現代化高樓層大樓，樓地板面積預估達萬平方公尺,現代化之工學行政中樞與尖端實驗室總匯
無,實習一廠,,輕鋼架或鐵皮廠房結構，低樓層大面積,提供基礎工程實作、加工製造與車床訓練之空間
A,文學一館,Liberal Arts Bldg #1,中型量體，具備豐富之室內採光設計,傳統人文學科之核心基座，承載文學與哲學研究
C2,文學二館,Liberal Arts Bldg #2,中型量體，多隔間之標準教室配置,擴充之人文研究與語言訓練空間
LS,人文社會科學大樓,文學院辦公室,現代化中高樓層建築，整合龐大行政系統,整合人文與社會科學之行政與學術樞紐，提供跨領域論壇空間
HK,客家學院大樓,客家學院辦公室,中型量體，外觀或內部可能融入傳統建築語彙,專司族群文化與在地社會學研究之特色建築
,客家大樓旁停車場,7kW 2支、30kW 1支,,
I,志希館,管理學院辦公室,具備氣派之交誼大廳與高階主管進修空間設計,高階商管教研樞紐，承載EMBA等核心管理學術運作
I1,管理二館,Management Bldg #2,中型量體，標準商管階梯教室為主,商管學科之擴充教學與研究空間
R2,太空及遙測研究中心,Center for Space & Remote Sensing,頂樓必然配置大型天線陣列與雷達接收穹頂,大氣觀測、衛星遙測影像接收與海量數據處理運算
,NASA合作空氣品質監測站,,,
,中壢特高頻雷達 (VHF Radar)：,,,
,科一館天文望遠鏡,https://ps1tw.astro.ncu.edu.tw/NCUO/index.php/home/about/,,
R3,研究中心大樓二期,生醫理工學院辦公室,現代化高樓層大樓，具備高防震與生安等級控制,醫學工程、生物科技與尖端跨領域科學研究樞紐
IL,國鼎光電大樓,Kwoh-Ting Optoelectronics Bldg,配置大面積無塵室，建築基座採微震動隔離設計,半導體、雷射、光學元件開發與尖端光電科技研發
無,教學研究綜合大樓,永續與綠能科技研究學院,預估面積達1.5萬平方公尺以上，符合高綠建築標章,淨零碳排、綠能科技研發，建築本身即為永續生活實驗室
無,大氣微星物質分析實驗室,Atmospheric Trace Element Lab,具備極嚴苛之潔淨室與高純度氣體管線佈建,極微量氣體與懸浮微粒解析，配備高精度質譜分析儀器
無,前瞻科技中心,Center for Advanced Sci & Tech,具備彈性隔間與充沛水電基礎設施,育成中心性質，提供從理論研究到原型打造的實作空間
LH,大講堂,Grand Lecture Hall,內部呈現大型扇形或階梯狀結構,作為中大型演講與基礎大班授課之核心空間
無,大禮堂,松之果 (Pine Cone Building),"地下1層、地上5層，總樓地板面積23,200㎡",舉辦國際學術盛會、交響樂與劇團演出之國家級展演殿堂
O,綜教館,語言中心,龐大之長條型或口字型量體，容納數十間標準教室,全校大一、大二學生進行通識教育與共同科目學習之集散地
L3,國鼎圖書資料館,Kwoh-Ting Library,具備大面積開窗與高載重書庫樓板,現代化的數位資訊、期刊文獻與多媒體學習共享空間
無,中正圖書館,舊圖 (Old Library),早期校園建築風格，空間配置較為緊湊,早期之文獻儲存中心，現可能轉型為特色館藏或閱覽室
,iHouse、,宿舍區自習室,,
無,行政大樓,Administrative Bldg,位於校園動線樞紐，具備莊重之建築立面,校務決策與校園管理之運算大腦，各一級行政單位所在地
無,第一演講室,Lecture Hall 1,獨立或附屬於特定大樓之階梯教室,提供跨系所中型研討會與客座演講使用
男學生宿舍群,男三舍、男五舍、男六舍、男七舍、男九舍、男十一舍、男十三舍,多棟中高樓層建築組成之龐大聚落，呈矩陣排列,提供大學部與部分研究所男性學生之密集住宿空間,
,男五舍,,,
,男六舍,,,
,男七舍,,,
,男九舍,,,
,男十一舍,,,
,男十三舍,,,
女學生宿舍群,女一舍、,著重門禁安全與隱私之封閉或半封閉型建築量體,提供大學部與部分研究所女性學生之安全住宿環境,
,女1-4舍旁停車場,7kW 2支、30kW 1支,,
,女二舍、,,,
,女三舍、,,,
,女四舍、,,,
,女十四舍,,,
專項與國際住宿,國際學舍、,具備獨立套房或較高規格物業管理之現代化建築,針對外籍生、研究生及訪問學者提供客製化之住宿與接待服務,
,研究生宿舍(曦望居)、,,,
,中大會館,,,
教職員生活圈,教職員中大新村,低密度、低樓層之庭園式平房或公寓群落,保留早期大學照顧學者起居之傳統，形塑真正之學術社群聚落,
餐飲設施,松果餐廳、,大面積單層或雙層建築，配備大型商用廚房與排煙系統,解決龐大師生群體之膳食需求，兼具非正式學習與社交空間功能,
,松苑餐廳,,,
建築與設施名稱,設施屬性與推估量體,核心機能與空間意義,,
游藝館 (You-Yi Hall),中型建築，內部包含多個隔音排練室與活動大廳,學生社團運作、藝文展演與課外活動之核心基地,,
依仁堂,大型體育場館建築，具備大跨距屋頂結構,室內體育教學、大型球類競賽與全校性室內集會場所,,
游泳池,,,,
健身房,,,,
據德樓、,中小型附屬建築或專屬活動中心,提供師生身心靈發展、小型展演或特定社群聚會之空間,,
羽球場,,,,
排球場,,,,
操場,,,,
志道樓,,,,
大草坪、中大湖,廣闊之開放式景觀地景與水體滯洪池,軟化建築群之冷硬感，提供戶外休憩、棒壘球運動與生態觀察,,
公車與共享運具站點,遍布全校之交通基礎設施網絡,串聯各大建築群落，大幅縮短點對點之通勤時間，縫合校園空間,,
中大湖站,,,,
觀景台站,,,,
依仁堂站,,,,
後門站,,,,
警衛室站 ,,,,
